year,month,day,hour,temp,temp_source,rhum,rhum_source,prcp,prcp_source,wdir,wdir_source,wspd,wspd_source,wpgt,wpgt_source,pres,pres_source,cldc,cldc_source,coco,coco_source
2026,1,1,0,-1.0,metar,49,metar,0.0,metno_forecast,220,metno_forecast,11.0,metar,16.0,metar,1008.0,metar,4,metar,1,metno_forecast
2026,1,1,1,0.0,metar,47,metar,0.0,metno_forecast,201,metno_forecast,11.0,metar,,,1008.0,metar,6,metar,3,metno_forecast
2026,1,1,2,0.0,metar,49,metar,0.0,metno_forecast,203,metno_forecast,7.0,metar,,,1006.0,metar,8,metar,3,metno_forecast
2026,1,1,3,0.0,metar,56,metar,0.0,metar,200,metar,6.0,metar,,,1006.0,metar,4,metar,3,metno_forecast
2026,1,1,4,1.0,metar,51,metar,0.0,metno_forecast,199,metno_forecast,13.3,metno_forecast,,,1004.0,metar,2,metar,3,metno_forecast
2026,1,1,5,1.0,metar,53,metar,0.0,metno_forecast,195,metno_forecast,6.0,metar,,,1003.0,metar,6,metar,3,metno_forecast
2026,1,1,6,1.0,metar,56,metar,0.2,metno_forecast,195,metno_forecast,14.8,metno_forecast,,,1003.0,metar,8,metar,14,metno_forecast
2026,1,1,7,1.0,metar,56,metar,0.1,metno_forecast,210,metno_forecast,7.0,metar,,,1002.0,metar,8,metar,14,metno_forecast
2026,1,1,8,2.0,metar,54,metar,0.0,metno_forecast,217,metno_forecast,9.0,metar,,,1001.0,metar,8,metar,3,metno_forecast
2026,1,1,9,2.0,metar,54,metar,0.0,metno_forecast,220,metno_forecast,15.1,metno_forecast,,,1000.0,metar,8,metar,3,metno_forecast
2026,1,1,10,2.0,metar,56,metar,0.0,metar,270,metar,16.0,metar,32.0,metar,1000.0,metar,2,metar,3,metno_forecast
2026,1,1,11,0.0,metar,69,metar,0.0,metar,300,metar,13.0,metar,32.0,metar,1002.0,metar,6,metar,21,metno_forecast
2026,1,1,12,-3.0,metar,71,metar,0.0,metar,300,metar,22.0,metar,22.0,metar,1004.0,metar,2,metar,15,metno_forecast
2026,1,1,13,-4.0,metar,48,metar,0.0,metno_forecast,310,metar,22.0,metar,25.0,metar,1007.0,metar,0,metno_forecast,3,metno_forecast
2026,1,1,14,-4.0,metar,38,metar,0.0,metno_forecast,300,metar,20.0,metar,33.0,metar,1008.0,metar,0,metno_forecast,1,metno_forecast
2026,1,1,15,-4.0,metar,36,metar,0.0,metno_forecast,299,metno_forecast,9.0,metar,27.0,metar,1008.0,metar,0,metno_forecast,1,metno_forecast
2026,1,1,16,-3.0,metar,33,metar,0.0,metno_forecast,310,metar,28.0,metar,27.0,metar,1009.0,metar,1,metno_forecast,1,metno_forecast
2026,1,1,17,-3.0,metar,31,metar,0.0,metno_forecast,310,metar,24.0,metar,31.0,metar,1008.0,metar,1,metno_forecast,1,metno_forecast
2026,1,1,18,-3.0,metar,30,metar,0.0,metno_forecast,280,metar,28.0,metar,29.0,metar,1009.0,metar,0,metno_forecast,1,metno_forecast
2026,1,1,19,-3.0,metar,30,metar,0.0,metno_forecast,295,metno_forecast,20.9,metno_forecast,,,1009.0,metar,0,metno_forecast,1,metno_forecast
2026,1,1,20,-3.0,metar,32,metar,0.0,metno_forecast,295,metno_forecast,21.2,metno_forecast,,,1010.0,metar,0,metno_forecast,1,metno_forecast
2026,1,1,21,-4.0,metar,30,metar,0.0,metno_forecast,290,metar,19.0,metar,20.0,metar,1011.0,metar,1,metno_forecast,1,metno_forecast
2026,1,1,22,-4.0,metar,34,metar,0.0,metno_forecast,290,metar,13.0,metar,17.0,metar,1012.0,metar,0,metno_forecast,2,metno_forecast
2026,1,1,23,-5.0,metar,36,metar,0.0,metno_forecast,297,metno_forecast,9.0,metar,,,1012.0,metar,0,metno_forecast,1,metno_forecast
2026,1,2,0,-5.0,metar,36,metar,0.0,metno_forecast,300,metar,13.0,metar,,,1013.0,metar,0,metno_forecast,1,metno_forecast
2026,1,2,1,-6.0,metar,41,metar,0.0,metno_forecast,270,metar,9.0,metar,,,1013.0,metar,0,metno_forecast,1,metno_forecast
2026,1,2,2,-6.0,metar,41,metar,0.0,metno_forecast,290,metar,13.0,metar,,,1013.0,metar,0,metno_forecast,1,metno_forecast
2026,1,2,3,-5.0,metar,43,metar,0.0,metno_forecast,256,metno_forecast,4.7,metno_forecast,,,1012.0,metar,8,metar,1,metno_forecast
2026,1,2,4,-5.0,metar,45,metar,0.0,metno_forecast,231,metno_forecast,11.0,metar,,,1012.0,metar,6,metar,3,metno_forecast
2026,1,2,5,-6.0,metar,48,metar,0.0,metno_forecast,231,metno_forecast,11.0,metar,16.0,metar,1012.0,metar,6,metar,3,metno_forecast
2026,1,2,6,-6.0,metar,62,metar,0.0,metar,270,metar,11.0,metar,,,1011.0,metar,8,metar,3,metno_forecast
2026,1,2,7,-7.0,metar,68,metar,0.0,metar,264,metno_forecast,11.0,metar,,,1011.0,metar,8,metar,3,metno_forecast
2026,1,2,8,-6.0,metar,62,metar,0.0,metno_forecast,262,metno_forecast,9.4,metno_forecast,,,1011.0,metar,2,metar,3,metno_forecast
2026,1,2,9,-6.0,metar,65,metar,0.0,metno_forecast,259,metno_forecast,7.0,metar,14.0,metar,1010.0,metar,8,metar,3,metno_forecast
2026,1,2,10,-6.0,metar,62,metar,0.0,metno_forecast,0,metar,0.0,metar,,,1010.0,metar,2,metar,3,metno_forecast
2026,1,2,11,-6.0,metar,60,metar,0.0,metno_forecast,240,metar,7.0,metar,17.0,metar,1010.0,metar,8,metar,3,metno_forecast
2026,1,2,12,-6.0,metar,60,metar,0.0,metno_forecast,251,metno_forecast,10.1,metno_forecast,,,1010.0,metar,8,metar,3,metno_forecast
2026,1,2,13,-5.0,metar,57,metar,0.0,metno_forecast,246,metno_forecast,11.0,metar,18.0,metar,1010.0,metar,8,metar,3,metno_forecast
2026,1,2,14,-4.0,metar,57,metar,0.0,metno_forecast,260,metar,11.0,metar,,,1010.0,metar,8,metar,3,metno_forecast
2026,1,2,15,-4.0,metar,55,metar,0.0,metno_forecast,243,metno_forecast,7.0,metar,15.0,metar,1009.0,metar,8,metar,3,metno_forecast
2026,1,2,16,-3.0,metar,50,metar,0.0,metno_forecast,230,metar,17.0,metar,,,1008.0,metar,8,metar,3,metno_forecast
2026,1,2,17,-2.0,metar,46,metar,0.0,metno_forecast,270,metno_forecast,6.0,metar,,,1008.0,metar,8,metar,3,metno_forecast
